nb_pakt,total pakt,time,throughput Gb/s,rte_burst,pkt_analysis,nb_pakt/s,total pakt/s
1 core offload
9704720, 299244692, 13.228531, 10.858156, 3835126526, 6634352392, 0.733620, 22.621158
9637572, 297191585, 13.228576, 10.783622, 3841521362, 6615401784, 0.728542, 22.465879
============================================================================================
1 core no offload
1752901, 55576900, 13.228334, 2.016649, 875266477, 2534546356, 0.132511, 4.201353
1752546, 55569936, 13.228392, 2.016388, 853928367, 2532063201, 0.132484, 4.200808
1746899, 55385728, 13.228473, 2.009692, 857045081, 2538625469, 0.132056, 4.186857
1752394, 55568324, 13.228453, 2.016320, 866477108, 2541005923, 0.132472, 4.200667
1751380, 55530288, 13.228479, 2.014936, 885078727, 2531937908, 0.132395, 4.197783
1748296, 55433332, 13.228314, 2.011443, 775761621, 2519127739, 0.132163, 4.190506
1747870, 55421516, 13.228342, 2.011010, 864873994, 2543088757, 0.132131, 4.189604
1752480, 55566792, 13.228471, 2.016262, 867689270, 2534894213, 0.132478, 4.200545
1753321, 55595565, 13.228448, 2.017309, 877580433, 2535073540, 0.132542, 4.202728
1753321, 55595565, 13.228448, 2.017309, 877580433, 2535073540, 0.132542, 4.202728
2 core no offload
3485515, 109691293, 13.228309, 3.980238, 1547920883, 4981737014, 0.263489, 8.292163
3494306, 109992607, 13.228534, 3.991104, 1558405171, 4995645080, 0.264149, 8.314800
3493632, 109983620, 13.228486, 3.990792, 1491868116, 4988871564, 0.264099, 8.314150
3494662, 109996954, 13.228507, 3.991270, 1580146651, 4998464104, 0.264177, 8.315145
3494155, 109966929, 13.228521, 3.990176, 1588807295, 5024378409, 0.264138, 8.312866
3495477, 110020671, 13.228511, 3.992129, 1567938884, 5015020566, 0.264238, 8.316935
3494347, 109995079, 13.228503, 3.991203, 1488650028, 4987701170, 0.264153, 8.315005
3492606, 109947249, 13.228521, 3.989462, 1541428434, 5012919972, 0.264021, 8.311379
3494145, 109965107, 13.228485, 3.990121, 1468541815, 4992742992, 0.264138, 8.312751
3494451, 109985349, 13.228479, 3.990857, 1549701428, 4990953705, 0.264161, 8.314285
3 core no offload
4673276, 146360233, 15.554706, 4.516505, 1961419632, 6667962936, 0.300441, 9.409386
4663710, 146070056, 13.228482, 5.300202, 1977530555, 6666908718, 0.352551, 11.042087
4671502, 146311413, 13.228547, 5.308934, 1926218900, 6630465876, 0.353138, 11.060278
4672561, 146340229, 13.228483, 5.310005, 2006196340, 6649082639, 0.353220, 11.062510
4674050, 146386621, 13.228487, 5.311687, 2003364230, 6662343683, 0.353332, 11.066014
4674654, 146399504, 13.228536, 5.312134, 1985649854, 6650479812, 0.353377, 11.066947
4672800, 146350483, 13.228550, 5.310350, 1942608797, 6648475455, 0.353236, 11.063229
4672155, 146322852, 13.228329, 5.309436, 1965800251, 6651434828, 0.353193, 11.061325
4662126, 146022480, 13.228457, 5.298486, 1949316939, 6660973170, 0.352432, 11.038512
4670751, 146285081, 13.228344, 5.308060, 1971062527, 6691354451, 0.353087, 11.058457
4658043, 145881745, 13.228542, 5.293345, 1933636203, 6666382510, 0.352121, 11.027803
4 core no offload
6297950, 195693813, 13.228459, 7.100829, 2261975154, 8922233309, 0.476091, 14.793395
6296566, 195642792, 13.228567, 7.098920, 2268581044, 8888388320, 0.475982, 14.789417
6298181, 195692104, 13.228432, 7.100782, 2242234431, 8894895217, 0.476109, 14.793296
6296304, 195638483, 13.228543, 7.098776, 2254343009, 8911632906, 0.475964, 14.789118
6281982, 195194649, 13.228540, 7.082673, 2198584774, 8876287138, 0.474881, 14.755570
6297667, 195679838, 13.228537, 7.100280, 2216790300, 8883696306, 0.476067, 14.792251
6297503, 195680763, 13.228567, 7.100298, 2190245471, 8866330452, 0.476053, 14.792287
6283128, 195221986, 13.228442, 7.083718, 2176193012, 8868465681, 0.474971, 14.757746
6296471, 195640690, 13.228535, 7.098861, 2259673963, 8906673153, 0.475976, 14.789294
6296630, 195626472, 13.228580, 7.098321, 2187793713, 8827250120, 0.475987, 14.788168
5 core no offload
7402261, 228974351, 13.228370, 8.308483, 2770219866, 10483864715, 0.559575, 17.309340
7401040, 228976595, 13.228533, 8.308462, 2812021683, 10523588341, 0.559475, 17.309296
7402288, 228982551, 13.228463, 8.308722, 2538715007, 10485457024, 0.559573, 17.309838
7400200, 228907498, 13.228527, 8.305959, 2465361926, 10429364448, 0.559412, 17.304080
7398112, 228871542, 13.228573, 8.304625, 2675987696, 10498771328, 0.559252, 17.301303
7402584, 228990429, 13.228568, 8.308942, 2802289694, 10517409653, 0.559591, 17.310297
7397480, 228827833, 13.228487, 8.303093, 2788527976, 10443626811, 0.559208, 17.298110
7400909, 228953988, 13.228514, 8.307654, 2809895948, 10514470889, 0.559466, 17.307612
7385000, 228467641, 13.228479, 8.290028, 2754948083, 10492182377, 0.558265, 17.270893
7398789, 228879014, 13.228518, 8.304931, 2763030188, 10517074428, 0.559306, 17.301939
6 core no offload
8820566, 272144836, 13.228387, 9.874940, 3099626110, 12508758966, 0.666791, 20.572791
8811147, 271884478, 13.228510, 9.865401, 2913811165, 12437437238, 0.666073, 20.552919
8814922, 271980034, 13.228337, 9.868997, 3038681191, 12504729927, 0.666367, 20.560410
8788855, 271207284, 13.228352, 9.840946, 3198714611, 12492325346, 0.664395, 20.501970
8816216, 272031037, 13.228549, 9.870690, 3155590101, 12513969134, 0.666454, 20.563936
8816449, 272042069, 13.228528, 9.871105, 3055074135, 12500349828, 0.666472, 20.564803
8790080, 271226674, 13.228585, 9.841476, 3101000412, 12471017605, 0.664476, 20.503076
8810841, 271882786, 13.228331, 9.865472, 3164244582, 12527244168, 0.666058, 20.553067
8811761, 271914720, 13.228545, 9.866472, 2922358394, 12521007326, 0.666117, 20.555150
8811232, 271881873, 13.228570, 9.865261, 3162750901, 12552543182, 0.666076, 20.552627
7 core no offload
